Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,"Yiyang, Hunan",China,Eastern Asia and South-Eastern Asia,53.57,UN-Habitat Urban Indicators Database,222
Proportion of population with access to public transport,Qaragandy,Kazakhstan,Central Asia and Southern Asia,53.58,UN-Habitat Urban Indicators Database,223
Proportion of population with access to public transport,Haputale,Sri-Lanka,Central Asia and Southern Asia,53.59,UN-Habitat Urban Indicators Database,224
Proportion of population with access to public transport,Antananarivo,Madagascar,Sub-Saharan Africa,53.64,UN-Habitat Urban Indicators Database,225
Proportion of population with access to public transport,Astana (Nur-Sultan),Kazakhstan,Central Asia and Southern Asia,53.66,UN-Habitat Urban Indicators Database,226
Proportion of population with access to public transport,Alto Molocue,Mozambique,Sub-Saharan Africa,53.74,UN-Habitat Urban Indicators Database,227
Proportion of population with access to public transport,Aradabil,Iran,Central Asia and Southern Asia,54.09,UN-Habitat Urban Indicators Database,228
Proportion of population with access to public transport,Kolkata,India,Central Asia and Southern Asia,54.34,UN-Habitat Urban Indicators Database,229
Proportion of population with access to public transport,Corum,Turkey,Western Asia and Northern Africa ,54.71,UN-Habitat Urban Indicators Database,230
Proportion of population with access to public transport,Toliara,Madagascar,Sub-Saharan Africa,54.84,UN-Habitat Urban Indicators Database,231
Proportion of population with access to public transport,"Tianjin,  Tianjin",China,Eastern Asia and South-Eastern Asia,54.88,UN-Habitat Urban Indicators Database,232
Proportion of population with access to public transport,"Springfield, MA",United States,Northern America and Europe,54.96,UN-Habitat Urban Indicators Database,233
Proportion of population with access to public transport,Radaa,Yemen,Western Asia and Northern Africa ,55.01,UN-Habitat Urban Indicators Database,234
Proportion of population with access to public transport,Bojnurd,Iran,Central Asia and Southern Asia,55.7,UN-Habitat Urban Indicators Database,235
Proportion of population with access to public transport,Toledo,United States,Northern America and Europe,56.17,UN-Habitat Urban Indicators Database,236
Proportion of population with access to public transport,"Haikou, Hainan",China,Eastern Asia and South-Eastern Asia,56.49,UN-Habitat Urban Indicators Database,237
Proportion of population with access to public transport,Nigde,Turkey,Western Asia and Northern Africa ,57.75,UN-Habitat Urban Indicators Database,238
Proportion of population with access to public transport,Nairobi,Kenya,Sub-Saharan Africa,58.03,UN-Habitat Urban Indicators Database,239
Proportion of population with access to public transport,Hyderabad,Pakistan,Central Asia and Southern Asia,58.45,UN-Habitat Urban Indicators Database,240
Proportion of population with access to public transport,SaintLouis,Senegal,Sub-Saharan Africa,58.69,UN-Habitat Urban Indicators Database,241
Proportion of population with access to public transport,Yarim,Yemen,Western Asia and Northern Africa ,59.04,UN-Habitat Urban Indicators Database,242
Proportion of population with access to public transport,Malatya,Turkey,Western Asia and Northern Africa ,59.21,UN-Habitat Urban Indicators Database,243
Proportion of population with access to public transport,Philadelphia,United States,Northern America and Europe,59.22,UN-Habitat Urban Indicators Database,244
Proportion of population with access to public transport,"Changzhou, Jingsu",China,Eastern Asia and South-Eastern Asia,59.25,UN-Habitat Urban Indicators Database,245
Proportion of population with access to public transport,San Hose,Costa Rica,Latin America and the Caribbean,59.26,UN-Habitat Urban Indicators Database,246
Proportion of population with access to public transport,"Leshan, Sichuan",China,Eastern Asia and South-Eastern Asia,59.28,UN-Habitat Urban Indicators Database,247
Proportion of population with access to public transport,"Gaoyou, Jiangsu",China,Eastern Asia and South-Eastern Asia,59.57,UN-Habitat Urban Indicators Database,248
Proportion of population with access to public transport,Minneapolis,United States,Northern America and Europe,59.76,UN-Habitat Urban Indicators Database,249
Proportion of population with access to public transport,"Wuhan, Hubei",China,Eastern Asia and South-Eastern Asia,60.05,UN-Habitat Urban Indicators Database,250
Proportion of population with access to public transport,Adiyaman,Turkey,Western Asia and Northern Africa ,60.15,UN-Habitat Urban Indicators Database,251
Proportion of population with access to public transport,Polack ,Belarus ,Northern America and Europe,60.17,UN-Habitat Urban Indicators Database,252
Proportion of population with access to public transport,Reghin,Romania,Northern America and Europe,60.43,UN-Habitat Urban Indicators Database,253
Proportion of population with access to public transport,Modesto,United States,Northern America and Europe,60.56,UN-Habitat Urban Indicators Database,254
Proportion of population with access to public transport,Gaziantep,Turkey,Western Asia and Northern Africa ,60.6,UN-Habitat Urban Indicators Database,255
Proportion of population with access to public transport,Hrabuvka,Czech Republic,Northern America and Europe,60.85, European Commission DG REGIO,256
Proportion of population with access to public transport,Myeik,Myanmar,Eastern Asia and South-Eastern Asia,61.57,UN-Habitat Urban Indicators Database,257
Proportion of population with access to public transport,Sarajevo,Bosnia and Herzegovina,Northern America and Europe,61.92, European Commission DG REGIO,258
Proportion of population with access to public transport,Safi,Morocco,Western Asia and Northern Africa ,62.11,UN-Habitat Urban Indicators Database,259
Proportion of population with access to public transport,Dehdasht ,Iran,Central Asia and Southern Asia,62.19,UN-Habitat Urban Indicators Database,260
Proportion of population with access to public transport,Doha,Qatar,Western Asia and Northern Africa ,62.37,UN-Habitat Urban Indicators Database,261
Proportion of population with access to public transport,Mercedes,Uruguay,Latin America and the Caribbean,62.53,UN-Habitat Urban Indicators Database,262
Proportion of population with access to public transport,Irbid,Jordan,Western Asia and Northern Africa ,4.64,UN-Habitat Urban Indicators Database,263
Proportion of population with access to public transport,Surabaya,Indonesia,Eastern Asia and South-Eastern Asia,30.55,UN-Habitat Urban Indicators Database,264
Proportion of population with access to public transport,Agadez,Niger,Sub-Saharan Africa,17.23,UN-Habitat Urban Indicators Database,265
Proportion of population with access to public transport,Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,17.42,UN-Habitat Urban Indicators Database,266
Proportion of population with access to public transport,Pyongyang,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,17.66,UN-Habitat Urban Indicators Database,267
Proportion of population with access to public transport,Salalah,Oman,Western Asia and Northern Africa ,17.96,UN-Habitat Urban Indicators Database,268
Proportion of population with access to public transport,Al-Khal?l,Palestinian territories ,Western Asia and Northern Africa ,18.05,UN-Habitat Urban Indicators Database,269
Proportion of population with access to public transport,Kandahar,Afghanistan,Central Asia and Southern Asia,18.18,UN-Habitat Urban Indicators Database,270
Proportion of population with access to public transport,Khartoum,Sudan,Western Asia and Northern Africa ,18.42,UN-Habitat Urban Indicators Database,271
Proportion of population with access to public transport,Sitapur,India,Central Asia and Southern Asia,18.46,UN-Habitat Urban Indicators Database,272
Proportion of population with access to public transport,An-Nu?ayr?t,Palestinian territories ,Western Asia and Northern Africa ,18.72,UN-Habitat Urban Indicators Database,273
Proportion of population with access to public transport,Kokand,Uzbekistan,Central Asia and Southern Asia,18.78,UN-Habitat Urban Indicators Database,274
Proportion of population with access to public transport,Al Qadarif,Sudan,Western Asia and Northern Africa ,18.79,UN-Habitat Urban Indicators Database,275
Proportion of population with access to public transport,Rajshahi,Bangladesh,Central Asia and Southern Asia,18.88,UN-Habitat Urban Indicators Database,276
Proportion of population with access to public transport,Meru,Kenya,Sub-Saharan Africa,18.9,UN-Habitat Urban Indicators Database,277
Proportion of population with access to public transport,Kabul,Afghanistan,Central Asia and Southern Asia,19.06,UN-Habitat Urban Indicators Database,278
Proportion of population with access to public transport,Pathein,Myanmar,Eastern Asia and South-Eastern Asia,19.09,UN-Habitat Urban Indicators Database,279
Proportion of population with access to public transport,Kashmar,Iran,Central Asia and Southern Asia,19.49,UN-Habitat Urban Indicators Database,280
Proportion of population with access to public transport,Lashio,Myanmar,Eastern Asia and South-Eastern Asia,19.53,UN-Habitat Urban Indicators Database,281
Proportion of population with access to public transport,Novi Pazar,Serbia,Northern America and Europe,19.6,UN-Habitat Urban Indicators Database,282
Proportion of population with access to public transport,Islamadad,Pakistan,Central Asia and Southern Asia,19.66,UN-Habitat Urban Indicators Database,283
Proportion of population with access to public transport,Navoi_Karmana,Uzbekistan,Central Asia and Southern Asia,19.93,UN-Habitat Urban Indicators Database,284
Proportion of population with access to public transport,Ruhengeri,Rwanda,Sub-Saharan Africa,20.04,UN-Habitat Urban Indicators Database,285
Proportion of population with access to public transport,Beirut,Lebanon,Western Asia and Northern Africa ,20.05,UN-Habitat Urban Indicators Database,286
Proportion of population with access to public transport,Ar-Rass,Saudi Arabia,Western Asia and Northern Africa ,20.08,UN-Habitat Urban Indicators Database,287
Proportion of population with access to public transport,Yamaguchi,Japan,Eastern Asia and South-Eastern Asia,20.18,UN-Habitat Urban Indicators Database,288
Proportion of population with access to public transport,Kaolack,Senegal,Sub-Saharan Africa,20.68,UN-Habitat Urban Indicators Database,289
Proportion of population with access to public transport,Oyo,Nigeria,Sub-Saharan Africa,20.7,UN-Habitat Urban Indicators Database,290
Proportion of population with access to public transport,Johannesburg,South Africa,Sub-Saharan Africa,20.78,UN-Habitat Urban Indicators Database,291
